ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
HROW,137,35.07,,,,,,,,,none,late,small,False,35.44,60,,,,,,1,,,,,,,50,unknown,50,,10.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
ACAD,138,34.74,,,,,,,,,none,late,mid,False,29.76,60,,,,,,5,Baker Bros,,,,,,31.39,strong,73.8,,75.0,,84.0,,0.87000,0.95,0.95,0.65,0.7
RYTM,139,34.64,,,,,,,,,none,late,mid,False,13.67,60,,,,,,7,Baker Bros; RA Capital,,,,,,50,unknown,69.0,,90.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
FOLD,140,34.64,,,,,,,,,none,late,mid,False,92.75,60,,,,,,3,,,,,,,36.75,strong,69.0,,100.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
VIR,141,34.37,,,,,,,,,sev1,late,small,False,86.03,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
CERS,142,33.98,,,,,,,,,none,late,small,False,92.75,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,90.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
MYGN,143,33.58,,,,,,,,,none,late,small,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,68.0,,0.83500,0.95,0.95,0.45,0.7
KROS,144,33.57,,,,,,,,,none,mid,small,False,40.12,60,,,,,,0,,,,,,,50,unknown,58,,75.0,,53.0,,0.80000,0.95,0.85,0.45,0.7
PVLA,145,33.49,,,,,,,,,none,late,small,False,63.80,60,,,,,,1,,,,,,,50,unknown,50,,10.0,,72.0,,0.83000,0.95,0.95,0.45,0.7
SANA,146,33.44,,,,,,,,,sev1,late,small,False,52.48,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
ACRV,147,33.32,,,,,,,,,none,mid,micro,False,35.23,60,,,,,,2,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,64.0,,0.80000,0.95,0.85,0.45,0.7
FHTX,148,33.25,,,,,,,,,none,early,small,False,57.35,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,55.0,,0.80000,0.95,0.85,0.45,0.7
XERS,149,33.19,,,,,,,,,none,late,small,False,50,,,,,,,6,,,,,,,50,unknown,50,,100.0,,79.0,,0.77000,0.95,0.95,0.45,0.7
BCAX,150,33.05,,,,,,,,,none,mid,small,False,45.58,60,,,,,,5,RA Capital,,,,,,50,unknown,50,,100.0,,46.0,,0.74000,0.95,0.85,0.45,0.7
VYGR,151,33.03,,,,,,,,,none,early,micro,False,14.66,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
MCRB,152,32.98,,,,,,,,,none,late,micro,False,19.11,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
KYTX,153,32.48,,,,,,,,,sev1,mid,small,False,92.75,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,70.0,,0.83500,0.95,0.95,0.45,0.7
SGMO,154,32.46,,,,,,,,,sev1,mid,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,84.0,,0.83500,0.95,0.95,0.45,0.7
BIOA,155,32.34,,,,,,,,,none,mid,small,False,92.75,60,,,,,,4,,,,,,,50,unknown,50,,100.0,,70.0,,0.83500,0.95,0.95,0.45,0.7
ACLX,156,32.32,,,,,,,,,none,early,mid,False,7.25,60,,,,,,6,Baker Bros; Perceptive; RA Capital,,,,,,50,unknown,50,,100.0,,45.0,,0.74500,0.95,0.85,0.45,0.7
AQST,157,32.03,,,,,,,,,none,late,small,False,7.25,60,,,,,,8,,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
INSM,158,32.00,,,,,,,,,none,late,large,False,25.10,60,,,,,,14,Baker Bros,,,,,,50,unknown,73.8,,100.0,,86.0,,0.87500,0.95,0.95,0.65,0.7
XENE,159,31.97,,,,,,,,,none,late,mid,False,27.06,60,,,,,,5,Baker Bros,,,,,,50,unknown,50,,100.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
CCCC,160,31.53,,,,,,,,,none,mid,micro,False,7.25,60,,,,,,4,Perceptive,,,,,,50,unknown,50,,100.0,,57.0,,0.80500,0.95,0.85,0.45,0.7
GOSS,161,31.52,,,,,,,,,sev1,late,small,False,36.83,60,,,,,,4,,,,,,,50,unknown,50,,100.0,,78.0,,0.83000,0.95,0.95,0.45,0.7
AMRX,162,31.50,,,,,,,,,none,late,mid,False,66.51,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
REPL,163,31.24,,,,,,,,,none,late,small,False,9.48,60,,,,,,9,Baker Bros,,,,,,50,unknown,50,,100.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
ZBIO,164,31.11,,,,,,,,,none,late,small,False,7.25,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
ORIC,165,30.89,,,,,,,,,sev1,early,small,False,32.03,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,63.0,,0.83000,0.95,0.95,0.45,0.7
PCRX,166,30.89,,,,,,,,,none,late,small,False,7.25,60,,,,,,4,,,,,,,50,unknown,50,,10.0,,35.0,,0.80500,0.95,0.85,0.45,0.7
ORKA,167,30.49,,,,,,,,,none,mid,small,False,92.75,60,,,,,,4,,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
TCRX,168,30.33,,,,,,,,,sev1,early,micro,False,7.25,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
SABS,169,30.30,,,,,,,,,none,late,micro,False,81.98,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,80.0,,0.83500,0.95,0.95,0.45,0.7
CRBU,170,30.23,,,,,,,,,none,early,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,67.0,,0.80500,0.95,0.85,0.45,0.7
CGON,171,30.22,,,,,,,,,none,mid,mid,False,92.75,60,,,,,,6,Perceptive,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
DRUG,172,30.18,,,,,,,,,none,mid,small,False,92.75,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,67.0,,0.80500,0.95,0.85,0.45,0.7
LXEO,173,29.96,,,,,,,,,sev1,early,small,False,23.04,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
NGNE,174,29.94,,,,,,,,,none,late,small,False,7.25,60,,,,,,6,Baker Bros,,,,,,50,unknown,50,,75.0,,61.0,,0.83500,0.95,0.95,0.45,0.7
PRTA,175,29.94,,,,,,,,,none,late,small,False,18.67,60,,,,,,3,RA Capital,,,,,,50,unknown,50,,75.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
ARWR,176,29.53,,,,,,,,,none,late,mid,False,92.75,60,,,,,,4,Baker Bros,,,,,,51.05,exceptional,64.8,,100.0,,88.0,,0.83500,0.95,0.95,0.45,0.7
MRSN,177,29.13,,,,,,,,,none,late,micro,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
TSHA,178,29.01,,,,,,,,,none,late,small,False,39.11,60,,,,,,8,Baker Bros; RA Capital,,,,,,50,unknown,50,,50.0,,68.0,,0.80000,0.95,0.85,0.45,0.7
CDXS,179,28.99,,,,,,,,,sev1,early,micro,False,7.25,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,42.0,,0.74500,0.95,0.85,0.45,0.7
AURA,180,28.95,,,,,,,,,none,late,small,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
ATXS,181,28.87,,,,,,,,,none,late,small,False,54.31,60,,,,,,2,,,,,,,50,unknown,50,,90.0,,76.0,,0.83000,0.95,0.95,0.45,0.7
NUVB,182,28.75,,,,,,,,,none,late,small,False,69.60,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,79.0,,0.83000,0.95,0.95,0.45,0.7
ANAB,183,28.72,,,,,,,,,sev1,mid,small,False,92.75,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,74.0,,0.83500,0.95,0.95,0.45,0.7
OLMA,184,28.67,,,,,,,,,none,late,mid,False,92.75,60,,,,,,6,,,,,,,50,unknown,50,,100.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
TECX,185,28.60,,,,,,,,,none,mid,small,False,19.89,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
KALV,186,28.42,,,,,,,,,sev1,late,small,False,50.18,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,80.0,,0.83000,0.95,0.95,0.45,0.7
ADMA,187,28.30,,,,,,,,,none,late,mid,False,16.69,60,,,,,,2,,,,,,,50,unknown,50,,75.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
LBRX,188,28.22,,,,,,,,,none,late,small,False,72.70,60,,,,,,3,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,76.0,,0.82500,0.95,0.95,0.45,0.7
RCUS,189,28.22,,,,,,,,,sev1,late,mid,False,90.92,60,,,,,,2,RA Capital,,,,,,48.08,exceptional,50,,100.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
AUPH,190,28.18,,,,,,,,,none,late,small,False,34.19,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
TGTX,191,28.15,,,,,,,,,none,early,mid,False,15.99,60,,,,,,1,,,,,,,35.75,strong,73.8,,100.0,,42.0,,0.80500,0.95,0.85,0.45,0.7
FDMT,192,27.94,,,,,,,,,none,late,small,False,26.51,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,75.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
ELDN,193,27.86,,,,,,,,,sev1,mid,micro,False,7.25,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,90.0,,71.0,,0.83500,0.95,0.95,0.45,0.7
IMCR,194,27.74,,,,,,,,,none,late,small,False,18.82,60,,,,,,2,Baker Bros,,,,,,50,unknown,67.2,,100.0,,79.0,,0.87500,0.95,0.95,0.65,0.7
SERA,195,27.47,,,,,,,,,none,early,micro,False,17.72,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,10.0,,60.0,,0.83500,0.95,0.95,0.45,0.7
AGIO,196,27.45,,,,,,,,,sev1,late,small,False,7.25,60,,,,,,6,Baker Bros,,,,,,50,unknown,73.8,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
TARA,197,27.33,,,,,,,,,none,late,small,False,92.75,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,75.0,,0.83500,0.95,0.95,0.45,0.7
IMVT,198,27.19,,,,,,,,,none,late,mid,False,53.82,60,,,,,,4,Baker Bros; Perceptive,,,,,,50.75,strong,69.8,,75.0,,79.0,,0.83000,0.95,0.95,0.45,0.7
FLGT,199,27.18,,,,,,,,,none,early,small,False,42.52,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
LYEL,200,26.85,,,,,,,,,none,late,small,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,71.0,,0.83500,0.95,0.95,0.45,0.7
PEPG,201,26.54,,,,,,,,,none,mid,small,False,92.75,60,,,,,,5,RA Capital,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
ARQT,202,26.25,,,,,,,,,sev1,late,mid,False,46.49,60,,,,,,3,Perceptive,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
CSTL,203,26.13,,,,,,,,,none,late,small,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
TNGX,204,26.00,,,,,,,,,sev1,early,small,False,92.75,60,,,,,,4,Perceptive; RA Capital,,,,,,50,unknown,50,,100.0,,60.0,,0.83500,0.95,0.95,0.45,0.7
VTYX,205,25.66,,,,,,,,,none,mid,small,False,92.75,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,63.0,,0.80500,0.95,0.85,0.45,0.7
NRIX,206,25.48,,,,,,,,,sev1,mid,small,False,84.98,60,,,,,,3,Baker Bros,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
RVMD,207,25.23,,,,,,,,,none,late,large,False,92.75,60,,,,,,8,Baker Bros; Perceptive,,,,,,50,unknown,50,,100.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
ARTV,208,24.84,,,,,,,,,sev1,mid,micro,False,67.26,60,,,,,,3,RA Capital,,,,,,50,unknown,50,,100.0,,75.0,,0.83000,0.95,0.95,0.45,0.7
INBX,209,24.36,,,,,,,,,sev1,mid,small,False,92.75,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
PYXS,210,24.32,,,,,,,,,sev1,early,micro,False,7.25,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,45.0,,0.80500,0.95,0.85,0.45,0.7
AVBP,211,24.29,,,,,,,,,none,late,small,False,46.90,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,64.0,,0.83000,0.95,0.95,0.45,0.7
ILMN,212,24.02,,,,,,,,,none,early,large,False,61.55,60,,,,,,5,,,,,,,50,unknown,50,,20.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
NTRA,213,23.94,,,,,,,,,none,early,large,False,54.66,60,,,,,,4,Perceptive,,,,,,50,unknown,50,,20.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
MNMD,214,23.80,,,,,,,,,none,late,small,False,74.72,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
VKTX,215,23.72,,,,,,,,,sev1,late,mid,False,7.25,60,,,,,,6,Baker Bros,,,,,,50,unknown,50,,75.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
OCS,216,23.62,,,,,,,,,none,late,small,False,80.71,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
NKTX,217,23.59,,,,,,,,,none,mid,micro,False,52.93,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,100.0,,70.0,,0.83000,0.95,0.95,0.45,0.7
PGEN,218,23.43,,,,,,,,,sev1,late,small,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,70.0,,0.83500,0.95,0.95,0.45,0.7
IKT,219,23.33,,,,,,,,,none,late,micro,False,26.72,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,71.0,,0.80500,0.95,0.85,0.45,0.7
ENGN,220,23.01,,,,,,,,,none,mid,small,False,92.75,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
APGE,221,22.91,,,,,,,,,none,mid,mid,False,80.75,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
LGND,222,22.60,,,,,,,,,none,late,mid,False,31.11,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,84.0,,0.83000,0.95,0.95,0.45,0.7
SRRK,223,22.49,,,,,,,,,sev1,late,mid,False,68.65,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,82.0,,0.83000,0.95,0.95,0.45,0.7
OBIO,224,22.43,,,,,,,,,none,early,micro,False,35.63,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,53.0,,0.74000,0.95,0.85,0.45,0.7
DYN,225,21.61,,,,,,,,,sev1,early,mid,False,18.53,60,,,,,,13,Perceptive,,,,,,50,unknown,50,,10.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
STOK,226,21.42,,,,,,,,,none,late,small,False,64.57,60,,,,,,8,Baker Bros,,,,,,50,unknown,50,,10.0,,68.0,,0.80000,0.95,0.85,0.45,0.7
ZVRA,227,20.69,,,,,,,,,none,late,small,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,60.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
RAPT,228,20.67,,,,,,,,,none,mid,small,False,92.75,60,,,,,,6,,,,,,,50,unknown,50,,100.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
HUMA,229,20.66,,,,,,,,,sev1,early,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,10.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
NTLA,230,20.61,,,,,,,,,sev1,early,small,False,51.59,60,,,,,,5,Baker Bros,,,,,,48.08,exceptional,50,,100.0,,35.0,,0.74000,0.95,0.85,0.45,0.7
KRYS,231,20.55,,,,,,,,,none,early,mid,False,90.53,60,,,,,,7,Perceptive,,,,,,50,unknown,69.0,,25.0,,35.0,,0.84500,0.95,0.85,0.65,0.7
PSNL,232,20.28,,,,,,,,,none,early,small,False,88.04,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
ADCT,233,20.27,,,,,,,,,none,mid,small,False,14.06,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,46.0,,0.74500,0.95,0.85,0.45,0.7
NUVL,234,20.20,,,,,,,,,none,late,mid,False,40.72,60,,,,,,6,Baker Bros; Perceptive; RA Capital,,,,,,50,unknown,50,,100.0,,76.0,,0.83000,0.95,0.95,0.45,0.7
OPCH,235,19.83,,,,,,,,,none,early,mid,False,51.50,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
RGEN,236,19.61,,,,,,,,,none,late,mid,False,40.21,60,,,,,,6,,,,,,,50,unknown,50,,75.0,,76.0,,0.83000,0.95,0.95,0.45,0.7
KURA,237,19.46,,,,,,,,,sev1,late,small,False,18.87,60,,,,,,1,,,,,,,50,unknown,50,,100.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
BDTX,238,19.30,,,,,,,,,none,mid,micro,False,7.25,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,46.0,,0.80500,0.95,0.85,0.45,0.7
VCYT,239,18.44,,,,,,,,,none,early,mid,False,38.20,60,,,,,,6,,,,,,,50,unknown,50,,100.0,,35.0,,0.80000,0.95,0.85,0.45,0.7
TEM,240,17.89,,,,,,,,,none,early,large,False,7.25,60,,,,,,3,,,,,,,50,unknown,50,,20.0,,50.0,,0.80500,0.95,0.85,0.45,0.7
EYPT,241,17.03,,,,,,,,,sev2,late,small,False,46.87,60,,,,,,3,,,,,,,50,unknown,50,,75.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
ARDX,242,16.89,,,,,,,,,sev2,late,small,False,69.80,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
CTMX,243,16.19,,,,,,,,,none,mid,small,False,92.75,60,,,,,,7,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
RNA,244,15.76,,,,,,,,,sev2,late,large,False,43.84,60,,,,,,9,Baker Bros; RA Capital,,,,,,50,unknown,50,,75.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
IVVD,245,15.63,,,,,,,,,sev1,late,small,False,92.75,60,,,,,,2,RA Capital,,,,,,50,unknown,50,,100.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
CYTK,246,15.48,,,,,,,,,sev2,late,mid,False,59.37,60,,,,,,1,,,,,,,40.75,strong,50,,100.0,,86.0,,0.87000,0.95,0.95,0.65,0.7
CRVS,247,15.30,,,,,,,,,none,late,small,False,92.75,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
SLDB,248,15.09,,,,,,,,,sev2,mid,small,False,40.72,60,,,,,,5,RA Capital,,,,,,50,unknown,50,,75.0,,79.0,,0.87000,0.95,0.95,0.65,0.7
ERAS,249,14.64,,,,,,,,,none,late,mid,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,90.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
BBIO,250,14.48,,,,,,,,,sev1,early,large,False,60.52,60,,,,,,11,,,,,,,50,unknown,50,,100.0,,42.0,,0.80000,0.95,0.85,0.45,0.7
SVRA,251,13.98,,,,,,,,,sev1,late,small,False,87.72,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,84.0,,0.83500,0.95,0.95,0.45,0.7
ACRS,252,13.88,,,,,,,,,sev2,late,small,False,92.75,60,,,,,,6,,,,,,,50,unknown,50,,75.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
MTSR,253,13.76,,,,,,,,,none,late,mid,False,50,,,,,,,3,RA Capital,,,,,,50,unknown,50,,100.0,,72.0,,0.68000,0.65,0.95,0.45,0.7
CELC,254,13.62,,,,,,,,,none,late,mid,False,92.75,60,,,,,,3,Baker Bros,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
LQDA,255,13.43,,,,,,,,,sev1,late,mid,False,92.75,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
EPRX,256,13.29,,,,,,,,,sev2,mid,small,False,79.67,60,,,,,,3,,,,,,,50,unknown,50,,25.0,,64.0,,0.80500,0.95,0.85,0.45,0.7
ANNX,257,13.04,,,,,,,,,sev2,early,small,False,92.75,60,,,,,,5,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
SYRE,258,13.00,,,,,,,,,sev2,mid,mid,False,92.75,60,,,,,,6,Baker Bros,,,,,,50,unknown,50,,100.0,,67.0,,0.87500,0.95,0.95,0.65,0.7
EDIT,259,12.91,,,,,,,,,sev2,early,micro,False,7.25,60,,,,,,0,,,,,,,39.40,strong,76.2,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
BLTE,260,12.81,,,,,,,,,sev2,late,mid,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,76.0,,0.74500,0.65,0.95,0.45,0.7
PRLD,261,12.78,,,,,,,,,sev2,mid,micro,False,92.75,60,,,,,,1,Baker Bros,,,,,,50,unknown,50,,100.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
ABOS,262,12.54,,,,,,,,,sev2,mid,micro,False,82.18,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,100.0,,64.0,,0.80500,0.95,0.85,0.45,0.7
AVIR,263,12.14,,,,,,,,,sev2,mid,small,False,38.43,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,64.0,,0.83000,0.95,0.95,0.45,0.7
CNTA,264,12.05,,,,,,,,,sev1,mid,mid,False,42.21,60,,,,,,5,,,,,,,50,unknown,50,,75.0,,67.0,,0.83000,0.95,0.95,0.45,0.7
VOR,265,12.05,,,,,,,,,sev1,late,small,False,7.25,60,,,,,,1,RA Capital,,,,,,50,unknown,50,,100.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
WVE,266,11.98,,,,,,,,,sev1,mid,mid,False,71.49,60,,,,,,4,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
LRMR,267,11.77,,,,,,,,,sev2,mid,small,False,11.47,60,,,,,,4,RA Capital,,,,,,50,unknown,50,,35.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
DNTH,268,11.46,,,,,,,,,sev1,late,mid,False,92.75,60,,,,,,3,Baker Bros; RA Capital,,,,,,50,unknown,50,,100.0,,64.0,,0.80500,0.95,0.85,0.45,0.7
LENZ,269,10.45,,,,,,,,,sev2,late,small,False,7.25,60,,,,,,6,RA Capital,,,,,,50,unknown,50,,10.0,,76.0,,0.83500,0.95,0.95,0.45,0.7
URGN,270,9.89,,,,,,,,,sev2,late,small,False,27.80,60,,,,,,2,,,,,,,50,unknown,50,,100.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
SION,271,9.26,,,,,,,,,sev2,early,small,False,91.92,60,,,,,,4,Baker Bros; RA Capital,,,,,,50,unknown,50,,75.0,,49.0,,0.74500,0.95,0.85,0.45,0.7
ADPT,272,9.03,,,,,,,,,sev2,early,mid,False,49.25,60,,,,,,0,,,,,,,41.62,exceptional,67.2,,100.0,,74.0,,0.83000,0.95,0.95,0.45,0.7
ALMS,273,8.86,,,,,,,,,sev2,late,mid,False,92.75,60,,,,,,6,Baker Bros,,,,,,50,unknown,50,,100.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
STRO,274,8.82,,,,,,,,,sev2,mid,micro,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,64.0,,0.83500,0.95,0.95,0.45,0.7
OCGN,275,8.65,,,,,,,,,sev2,late,small,False,42.37,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,79.0,,0.87000,0.95,0.95,0.65,0.7
IOVA,276,8.33,,,,,,,,,sev2,late,small,False,59.89,60,,,,,,3,Perceptive,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
KOD,277,8.11,,,,,,,,,sev2,late,small,False,92.75,60,,,,,,3,Baker Bros,,,,,,50,unknown,50,,75.0,,80.0,,0.87500,0.95,0.95,0.65,0.7
IBRX,278,7.93,,,,,,,,,sev2,early,mid,False,92.75,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,35.0,,0.74500,0.95,0.85,0.45,0.7
EOLS,279,7.90,,,,,,,,,sev2,late,small,False,7.25,60,,,,,,5,,,,,,,50,unknown,50,,20.0,,72.0,,0.83500,0.95,0.95,0.45,0.7
PRAX,280,7.26,,,,,,,,,sev2,mid,mid,False,92.75,60,,,,,,7,Baker Bros,,,,,,50,unknown,50,,100.0,,67.0,,0.83500,0.95,0.95,0.45,0.7
NMRA,281,6.94,,,,,,,,,sev2,late,small,False,13.48,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,72.0,,0.87500,0.95,0.95,0.65,0.7
BMEA,282,6.77,,,,,,,,,sev2,mid,micro,False,7.25,60,,,,,,3,,,,,,,50,unknown,50,,100.0,,70.0,,0.83500,0.95,0.95,0.45,0.7
VRDN,283,6.68,,,,,,,,,sev2,late,mid,False,92.43,60,,,,,,2,Baker Bros,,,,,,50,unknown,50,,75.0,,68.0,,0.83500,0.95,0.95,0.45,0.7
PHAT,284,5.76,,,,,,,,,sev2,early,small,False,32.95,60,,,,,,0,,,,,,,50,unknown,50,,15.0,,35.0,,0.74000,0.95,0.85,0.45,0.7
FULC,285,5.34,,,,,,,,,sev2,late,small,False,56.05,60,,,,,,2,RA Capital,,,,,,50,unknown,50,,100.0,,79.0,,0.83000,0.95,0.95,0.45,0.7
SMMT,286,4.70,,,,,,,,,sev2,late,large,False,7.25,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
COGT,287,4.34,,,,,,,,,sev2,late,mid,False,92.75,60,,,,,,4,,,,,,,50,unknown,50,,75.0,,79.0,,0.83500,0.95,0.95,0.45,0.7
