ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_return,catalyst_score,catalyst_effective_score,catalyst_event_count,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_pct,short_interest_days_to_cover,pos_score,pos_confidence,partnership_score,partnership_strength,fda_designation_score,fda_designations,competitive_intensity_score,competitive_intensity_level,pipeline_diversity_score,pipeline_diversity_status,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
KYMR,33,53.71,,,,,,,,,none,mid,mid,True,59.31,60,,,,,,4,Baker Bros,,,,,,60.46,exceptional,64.8,,100.0,,78.0,,0.83000,0.95,0.95,0.45,0.7
CRSP,34,53.24,,,,,,,,,none,early,mid,True,7.25,60,,,,,,2,,,,,,,56.46,exceptional,81.0,,75.0,,78.0,,0.83500,0.95,0.95,0.45,0.7
VERA,35,53.22,,,,,,,,,none,late,mid,True,92.75,60,,,,,,6,,,,,,,46.41,strong,50,,100.0,,82.0,,0.83500,0.95,0.95,0.45,0.7
PBYI,36,53.14,,,,,,,,,none,late,small,True,64.69,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
UTHR,37,52.84,,,,,,,,,none,late,large,True,44.12,60,,,,,,4,,,,,,,50,unknown,69.0,,100.0,,86.0,,0.83000,0.95,0.95,0.45,0.7
LAB,38,52.82,,,,,,,,,none,late,small,True,44.70,60,,,,,,1,,,,,,,50,unknown,50,,75.0,,83.0,,0.83000,0.95,0.95,0.45,0.7
GH,39,52.58,,,,,,,,,none,late,large,True,91.19,60,,,,,,7,,,,,,,50,unknown,50,,75.0,,86.0,,0.83500,0.95,0.95,0.45,0.7
SUPN,40,51.94,,,,,,,,,none,late,mid,True,16.45,60,,,,,,0,,,,,,,50,unknown,50,,100.0,,83.0,,0.83500,0.95,0.95,0.45,0.7
VTRS,41,51.87,,,,,,,,,none,late,large,True,55.64,60,,,,,,0,,,,,,,50,unknown,50,,75.0,,88.0,,0.83000,0.95,0.95,0.45,0.7
ELVN,42,51.70,,,,,,,,,none,early,small,True,74.46,60,,,,,,4,Baker Bros,,,,,,50,unknown,50,,100.0,,42.0,,0.80500,0.95,0.85,0.45,0.7
