ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
ANRO,20,58.70,,,,,,,,,none,late,small,True,92.75,60,1.1037,97.76,84.74,54.36,54.20,2,,72.00,LOW,LOW,84.16,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.87500,0.95,0.95,0.65,0.7
MBX,21,58.37,,,,,,,,,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,60.60,6,Baker Bros,64.00,LOW,LOW,33.64,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
UPB,22,57.77,,,,,,,,,none,mid,small,True,77.62,60,0.1938,86.00,70.83,35.43,58.40,4,,57.00,LOW,MODERATE,28.18,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.87500,0.95,0.95,0.65,0.7
CGEM,23,57.52,,,,,,,,,none,early,small,True,88.32,60,0.2689,94.55,85.96,65.93,52.40,1,,63.00,MEDIUM,MODERATE,58.93,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,63.0,focused,0.87500,0.95,0.95,0.65,0.7
JAZZ,24,57.41,,,,,,,,,none,late,large,True,49.88,60,-0.0009,65.60,56.16,34.14,59.60,4,,66.00,LOW,MODERATE,73.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
IONS,25,57.11,,,,,,,,,none,late,large,True,67.05,60,0.1263,80.00,74.96,63.20,54.00,1,Baker Bros,71.00,LOW,MODERATE,16.49,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.8,ODD; FT,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ALKS,26,56.84,,,,,,,,,none,late,mid,True,40.30,60,-0.0719,50.00,50.00,0,66.60,7,Baker Bros,67.00,MEDIUM,MODERATE,77.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
EWTX,27,56.30,,,,,,,,,none,mid,mid,True,92.75,60,0.4750,50.00,50.00,0,65.00,9,Baker Bros; RA Capital,69.00,LOW,MODERATE,35.45,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.7
QURE,28,56.27,,,,,,,,,none,early,small,True,7.25,60,-0.3084,50.00,50.00,0,63.60,5,RA Capital,48.00,MEDIUM,LOW,73.21,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
COLL,29,55.81,,,,,,,,,none,late,small,True,49.68,60,-0.0024,50.00,50.00,0,50.00,0,,84.00,MEDIUM,HIGH,85.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
INCY,30,54.68,,,,,,,,,none,late,large,True,29.94,60,-0.1486,83.63,88.54,100.00,55.40,2,Baker Bros,55.00,LOW,LOW,60.71,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
IMRX,31,53.90,,,,,,,,,none,early,small,True,13.83,60,-0.2538,50.00,50.00,0,58.40,4,,52.00,MEDIUM,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.74500,0.95,0.85,0.45,0.7
