Rank,Ticker,Composite_Score,Financial_Score,Clinical_Score,Catalyst_Score,Stage,Market_Cap_MM
139,NBIX,49.20,74.23,,50.00,early,
140,CNTA,49.18,4.64,,50.00,early,
141,ADCT,48.91,64.55,,50.00,late,
142,HROW,48.71,72.68,,50.00,early,
143,RAPT,48.50,26.67,,50.00,mid,
144,BCYC,48.39,71.65,,50.00,early,
145,ANRO,48.22,71.13,,50.00,early,
146,RYTM,48.07,0.00,,50.00,early,
147,VTRS,48.06,70.62,,50.00,early,
148,SUPN,47.90,70.10,,50.00,early,
149,AVXL,47.74,69.59,,50.00,early,
150,STOK,47.73,84.55,,50.00,late,
151,KURA,47.59,32.73,,50.00,late,
152,TSHA,47.57,69.07,,50.00,early,
153,PEPG,47.41,68.56,,50.00,early,
154,VOR,47.41,43.64,,50.00,late,
155,IRON,47.27,17.27,,50.00,late,
156,MCRB,47.27,97.27,,50.00,late,
157,GRFS,47.04,58.18,,50.00,late,
158,EDIT,46.64,51.82,,50.00,late,
159,GPCR,46.64,8.18,,50.00,late,
160,-,46.52,65.72,,50.00,early,
161,CRGX,46.52,65.72,,50.00,early,
162,IXCH6,46.52,65.72,,50.00,early,
163,RTYH6,46.52,65.72,,50.00,early,
164,SGAFT,46.52,65.72,,50.00,early,
